macro,id,section,line
XC_LDA_X_1D,21,legacy_alias,11
XC_GGA_X_BGCP,38,legacy_alias,12
XC_GGA_C_BGCP,39,legacy_alias,13
XC_GGA_C_BCGP,39,legacy_alias,14
XC_GGA_C_VPBE,83,legacy_alias,15
XC_GGA_XC_LB,160,legacy_alias,16
XC_MGGA_C_CC06,229,legacy_alias,17
XC_GGA_K_ABSR1,506,legacy_alias,18
XC_GGA_K_ABSR2,507,legacy_alias,19
XC_LDA_C_LP_A,547,legacy_alias,20
XC_LDA_C_LP_B,548,legacy_alias,21
XC_MGGA_C_LP90,564,legacy_alias,22
XC_LDA_C_vBH,17,case_compat_alias,25
XC_HYB_GGA_XC_B97_1p,266,case_compat_alias,26
XC_HYB_GGA_XC_mPW1K,405,case_compat_alias,27
XC_HYB_GGA_XC_mPW1PW,418,case_compat_alias,28
XC_HYB_GGA_XC_SB98_1a,420,case_compat_alias,29
XC_HYB_GGA_XC_SB98_1b,421,case_compat_alias,30
XC_HYB_GGA_XC_SB98_1c,422,case_compat_alias,31
XC_HYB_GGA_XC_SB98_2a,423,case_compat_alias,32
XC_HYB_GGA_XC_SB98_2b,424,case_compat_alias,33
XC_HYB_GGA_XC_SB98_2c,425,case_compat_alias,34
XC_HYB_GGA_XC_B3LYPs,459,case_compat_alias,35
XC_GGA_X_PBEpow,539,case_compat_alias,36
XC_GGA_X_HERMAN,104,removed_identifier,39
XC_GGA_XC_B97,167,removed_identifier,40
XC_GGA_XC_B97_1,168,removed_identifier,41
XC_GGA_XC_B97_2,169,removed_identifier,42
XC_GGA_XC_B97_K,171,removed_identifier,43
XC_GGA_XC_B97_3,172,removed_identifier,44
XC_GGA_XC_SB98_1a,176,removed_identifier,45
XC_GGA_XC_SB98_1b,177,removed_identifier,46
XC_GGA_XC_SB98_1c,178,removed_identifier,47
XC_GGA_XC_SB98_2a,179,removed_identifier,48
XC_GGA_XC_SB98_2b,180,removed_identifier,49
XC_GGA_XC_SB98_2c,181,removed_identifier,50
XC_MGGA_X_M05,214,removed_identifier,51
XC_MGGA_X_M05_2X,215,removed_identifier,52
XC_MGGA_X_M06_HF,216,removed_identifier,53
XC_MGGA_X_M06,217,removed_identifier,54
XC_MGGA_X_M06_2X,218,removed_identifier,55
XC_MGGA_X_M08_HX,219,removed_identifier,56
XC_MGGA_X_M08_SO,220,removed_identifier,57
XC_MGGA_X_M11,225,removed_identifier,58
XC_MGGA_X_MN12_SX,228,removed_identifier,59
XC_GGA_XC_WB97,251,removed_identifier,60
XC_GGA_XC_WB97X,252,removed_identifier,61
XC_GGA_XC_WB97X_V,253,removed_identifier,62
XC_GGA_XC_WB97X_D,256,removed_identifier,63
XC_HYB_MGGA_XC_M08_HX,460,removed_identifier,64
XC_HYB_MGGA_XC_M08_SO,461,removed_identifier,65
XC_HYB_MGGA_XC_M11,462,removed_identifier,66
