[batched-compile-sweep] effective jobs=3, batch_size=10, total_packages=50, families=lda,gga,mgga
[batched-compile-sweep] batch 0/4 (10 pkgs)
  ✓ libxc-kernel-lda_x (pass=1, 0.1s, 91 MB)
  ✓ libxc-kernel-lda_x_erf (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-lda_x_yukawa (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-lda_c_pw (pass=1, 0.1s, 91 MB)
  ✓ libxc-kernel-lda_c_vwn (pass=1, 0.2s, 92 MB)
  ✓ libxc-kernel-lda_c_chachiyo (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-lda_c_hl (pass=1, 0.2s, 91 MB)
  ✓ libxc-kernel-lda_c_pz (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-lda_c_pk09 (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-lda_c_2d_amgb (pass=1, 0.1s, 92 MB)
[batched-compile-sweep] batch 1/4 (10 pkgs)
  ✓ libxc-kernel-lda_c_1d_csc (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-lda_xc_teter93 (pass=1, 0.1s, 91 MB)
  ✓ libxc-kernel-lda_xc_ksdt (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-lda_k_tf (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-lda_k_gds08_worker (pass=1, 0.1s, 91 MB)
  ✓ libxc-kernel-gga_c_pbe (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-gga_c_lyp (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-gga_c_p86 (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-gga_c_pw91 (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-gga_c_am05 (pass=1, 0.1s, 91 MB)
[batched-compile-sweep] batch 2/4 (10 pkgs)
  ✓ libxc-kernel-gga_c_pbeloc (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-gga_c_pbe_vwn (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-gga_c_q2d (pass=1, 0.1s, 91 MB)
  ✓ libxc-kernel-gga_c_gaploc (pass=1, 0.2s, 100 MB)
  ✓ libxc-kernel-gga_c_gapc (pass=1, 0.2s, 102 MB)
  ✓ libxc-kernel-gga_c_lypr (pass=1, 0.1s, 91 MB)
  ✓ libxc-kernel-gga_c_acgga (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-gga_c_ft97 (pass=1, 0.2s, 95 MB)
  ✓ libxc-kernel-gga_c_bmk (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-gga_c_cs1 (pass=1, 0.1s, 92 MB)
[batched-compile-sweep] batch 3/4 (10 pkgs)
  ✓ libxc-kernel-gga_c_op_pbe (pass=1, 0.1s, 91 MB)
  ✓ libxc-kernel-gga_c_revtca (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-gga_c_chachiyo (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-gga_c_regtpss (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-gga_c_pw91 (pass=1, 0.2s, 92 MB)
  ✓ libxc-kernel-mgga_c_b94 (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-mgga_c_b88 (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-mgga_c_bc95 (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-mgga_c_pkzb (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-mgga_c_tpss (pass=1, 0.1s, 92 MB)
[batched-compile-sweep] batch 4/4 (10 pkgs)
  ✓ libxc-kernel-mgga_c_scan (pass=1, 0.2s, 92 MB)
  ✓ libxc-kernel-mgga_c_r2scan (pass=1, 0.2s, 95 MB)
  ✓ libxc-kernel-mgga_c_kcis (pass=1, 0.2s, 96 MB)
  ✓ libxc-kernel-mgga_x_br89 (pass=1, 406.9s, 17022 MB)
  ✓ libxc-kernel-mgga_x_mbr (pass=1, 158.8s, 6680 MB)
  ✓ libxc-kernel-mgga_x_mbrxc_bg (pass=1, 257.6s, 8979 MB)
  ✓ libxc-kernel-mgga_x_scan (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-mgga_x_tpss (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-mgga_x_m06l (pass=1, 0.1s, 92 MB)
  ✓ libxc-kernel-mgga_xc_b97mv (pass=1, 0.1s, 91 MB)
[batched-compile-sweep] done. wall=829.8s, verdict=ALL_OK
