category,name,prototype,line_start,line_end,仕様要約,Rust 対応先
version/reference,xc_reference,const char *xc_reference();,17,17,ライブラリ参照情報/版情報,"meta::library::{reference, version}"
version/reference,xc_reference_doi,const char *xc_reference_doi();,19,19,ライブラリ参照情報/版情報,"meta::library::{reference, version}"
version/reference,xc_reference_key,const char *xc_reference_key();,21,21,ライブラリ参照情報/版情報,"meta::library::{reference, version}"
version/reference,xc_version,"void xc_version(int *major, int *minor, int *micro);",24,24,ライブラリ参照情報/版情報,"meta::library::{reference, version}"
version/reference,xc_version_string,const char *xc_version_string();,26,26,ライブラリ参照情報/版情報,"meta::library::{reference, version}"
reference getter,xc_func_reference_get_ref,const char *xc_func_reference_get_ref(const func_reference_type *reference);,177,177,文献メタデータ取得,meta::Reference
reference getter,xc_func_reference_get_doi,const char *xc_func_reference_get_doi(const func_reference_type *reference);,178,178,文献メタデータ取得,meta::Reference
reference getter,xc_func_reference_get_bibtex,const char *xc_func_reference_get_bibtex(const func_reference_type *reference);,179,179,文献メタデータ取得,meta::Reference
reference getter,xc_func_reference_get_key,const char *xc_func_reference_get_key(const func_reference_type *reference);,180,180,文献メタデータ取得,meta::Reference
info getter,xc_func_info_get_number,int xc_func_info_get_number(const xc_func_info_type *info);,305,305,functional 静的メタデータ取得,meta::FunctionalMeta
info getter,xc_func_info_get_kind,int xc_func_info_get_kind(const xc_func_info_type *info);,306,306,functional 静的メタデータ取得,meta::FunctionalMeta
metadata getter,xc_func_info_get_name,char const *xc_func_info_get_name(const xc_func_info_type *info);,307,307,静的 functional metadata 取得,meta::FunctionalMeta
info getter,xc_func_info_get_family,int xc_func_info_get_family(const xc_func_info_type *info);,308,308,functional 静的メタデータ取得,meta::FunctionalMeta
info getter,xc_func_info_get_flags,int xc_func_info_get_flags(const xc_func_info_type *info);,309,309,functional 静的メタデータ取得,meta::FunctionalMeta
metadata getter,xc_func_info_get_references,"const func_reference_type *xc_func_info_get_references(const xc_func_info_type *info, int number);",310,310,静的 functional metadata 取得,meta::FunctionalMeta
info getter,xc_func_info_get_n_ext_params,int xc_func_info_get_n_ext_params(const xc_func_info_type *info);,313,313,functional 静的メタデータ取得,meta::FunctionalMeta
metadata getter,xc_func_info_get_ext_params_name,"char const *xc_func_info_get_ext_params_name(const xc_func_info_type *p, int number);",314,314,静的 functional metadata 取得,meta::FunctionalMeta
metadata getter,xc_func_info_get_ext_params_description,"char const *xc_func_info_get_ext_params_description(const xc_func_info_type *info, int number);",315,315,静的 functional metadata 取得,meta::FunctionalMeta
info getter,xc_func_info_get_ext_params_default_value,"double xc_func_info_get_ext_params_default_value(const xc_func_info_type *info, int number);",316,316,functional 静的メタデータ取得,meta::FunctionalMeta
registry/introspection,xc_functional_get_number,int xc_functional_get_number(const char *name);,370,370,名前↔ID 解決,registry::Registry
registry/introspection,xc_functional_get_name,char *xc_functional_get_name(int number);,372,372,名前↔ID 解決,registry::Registry
registry/introspection,xc_family_from_id,"int xc_family_from_id(int id, int *family, int *number);",374,374,ID→family 分類,registry::Registry
registry/introspection,xc_number_of_functionals,int xc_number_of_functionals();,377,377,レジストリ列挙,registry::Registry
registry/introspection,xc_maximum_name_length,int xc_maximum_name_length();,379,379,レジストリ列挙,registry::Registry
registry/introspection,xc_available_functional_numbers,void xc_available_functional_numbers(int *list);,381,381,レジストリ列挙,registry::Registry
registry/introspection,xc_available_functional_numbers_by_name,void xc_available_functional_numbers_by_name(int *list);,384,384,レジストリ列挙,registry::Registry
registry/introspection,xc_available_functional_names,void xc_available_functional_names(char **list);,387,387,レジストリ列挙,registry::Registry
lifecycle,xc_func_alloc,xc_func_type *xc_func_alloc();,390,390,インスタンス割当/初期化/破棄,compat::raw_handle::RawHandle / api::Functional
lifecycle,xc_func_init,"int xc_func_init(xc_func_type *p, int functional, int nspin);",392,392,インスタンス確保/初期化/破棄,compat::raw::Handle / core::Functional
lifecycle,xc_func_end,void xc_func_end(xc_func_type *p);,394,394,インスタンス確保/初期化/破棄,compat::raw::Handle / core::Functional
lifecycle,xc_func_free,void xc_func_free(xc_func_type *p);,396,396,インスタンス確保/初期化/破棄,compat::raw::Handle / core::Functional
lifecycle,xc_func_get_info,const xc_func_info_type *xc_func_get_info(const xc_func_type *p);,398,398,インスタンス割当/初期化/破棄,compat::raw_handle::RawHandle / api::Functional
instance config/ext params,xc_func_set_dens_threshold,"void xc_func_set_dens_threshold(xc_func_type *p, double t_dens);",401,401,閾値/外部パラメータ設定,core::Functional / builder::FunctionalBuilder
instance config/ext params,xc_func_set_zeta_threshold,"void xc_func_set_zeta_threshold(xc_func_type *p, double t_zeta);",403,403,閾値/外部パラメータ設定,core::Functional / builder::FunctionalBuilder
instance config/ext params,xc_func_set_sigma_threshold,"void xc_func_set_sigma_threshold(xc_func_type *p, double t_sigma);",405,405,閾値/外部パラメータ設定,core::Functional / builder::FunctionalBuilder
instance config/ext params,xc_func_set_tau_threshold,"void xc_func_set_tau_threshold(xc_func_type *p, double t_tau);",407,407,閾値/外部パラメータ設定,core::Functional / builder::FunctionalBuilder
instance config/ext params,xc_func_set_ext_params,"void xc_func_set_ext_params(xc_func_type *p, const double *ext_params);",410,410,閾値/外部パラメータ設定,core::Functional / builder::FunctionalBuilder
instance config/ext params,xc_func_get_ext_params,"void xc_func_get_ext_params(const xc_func_type *p, double *ext_params);",412,412,閾値/外部パラメータ設定,core::Functional / builder::FunctionalBuilder
instance config/ext params,xc_func_set_ext_params_name,"void xc_func_set_ext_params_name(xc_func_type *p, const char *name, double par);",414,414,閾値/外部パラメータ設定,core::Functional / builder::FunctionalBuilder
instance config/ext params,xc_func_get_ext_params_name,"double xc_func_get_ext_params_name(const xc_func_type *p, const char *name);",416,416,閾値/外部パラメータ設定,core::Functional / builder::FunctionalBuilder
instance config/ext params,xc_func_get_ext_params_value,"double xc_func_get_ext_params_value(const xc_func_type *p, int number);",418,418,閾値/外部パラメータ設定,core::Functional / builder::FunctionalBuilder
new family API,xc_lda_new,"void xc_lda_new (const xc_func_type *p, int order, size_t np, const double *rho, xc_lda_out_params *out);",424,425,family 別 out-struct API,compat::eval::lda_into / core::Functional::evaluate_into
new family API,xc_gga_new,"void xc_gga_new (const xc_func_type *p, int order, size_t np, const double *rho, const double *sigma, xc_gga_out_params *out);",426,427,family 別 out-struct API,compat::eval::gga_into / core::Functional::evaluate_into
legacy aggregate API,xc_lda,"void xc_lda (const xc_func_type *p, size_t np, const double *rho, double *zk LDA_OUT_PARAMS_NO_EXC(XC_COMMA double *, ));",430,431,旧集約 API,compat::eval::lda_legacy / core::Functional::evaluate_into
legacy aggregate API,xc_gga,"void xc_gga (const xc_func_type *p, size_t np, const double *rho, const double *sigma, double *zk GGA_OUT_PARAMS_NO_EXC(XC_COMMA double *, ));",433,434,旧集約 API,compat::eval::gga_legacy / core::Functional::evaluate_into
legacy aggregate API,xc_mgga,"void xc_mgga(const xc_func_type *p, size_t np, const double *rho, const double *sigma, const double *lapl_rho, const double *tau, double *zk MGGA_OUT_PARAMS_NO_EXC(XC_COMMA double *, ));",436,438,旧集約 API,compat::eval::mgga_legacy / core::Functional::evaluate_into
specialized derivative API,xc_lda_exc,"void xc_lda_exc (const xc_func_type *p, size_t np, const double *rho, double *zk);",441,441,派生次数別 API,compat::eval::lda_* / core::Functional::evaluate_into
specialized derivative API,xc_gga_exc,"void xc_gga_exc (const xc_func_type *p, size_t np, const double *rho, const double *sigma, double *zk);",443,444,派生次数別 API,compat::eval::gga_* / core::Functional::evaluate_into
specialized derivative API,xc_mgga_exc,"void xc_mgga_exc(const xc_func_type *p, size_t np, const double *rho, const double *sigma, const double *lapl, const double *tau, double *zk);",446,448,派生次数別 API,compat::eval::mgga_* / core::Functional::evaluate_into
specialized derivative API,xc_lda_exc_vxc,"void xc_lda_exc_vxc (const xc_func_type *p, size_t np, const double *rho, double *zk, double *vrho);",451,451,派生次数別 API,compat::eval::lda_* / core::Functional::evaluate_into
specialized derivative API,xc_gga_exc_vxc,"void xc_gga_exc_vxc (const xc_func_type *p, size_t np, const double *rho, const double *sigma, double *zk, double *vrho, double *vsigma);",453,454,派生次数別 API,compat::eval::gga_* / core::Functional::evaluate_into
